                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99276,                 2.4918,                 1.5618,                 0.0033,                   0.99,                0.38723,                0.23071,                0.60021,                 3.2175,                 1.5779,                0.00012,                0.00012,                0.00012
                      2,                0.85687,                 1.9344,                 1.4957,                 0.0033,                   0.99,                0.65096,                0.43972,                0.70574,                 3.1049,                 1.6672,             0.00024713,             0.00024713,             0.00024713
                      3,                0.80044,                 1.3024,                 1.4636,                0.00327,                   0.98,                0.85773,                0.47365,                 1.5034,                 3.2417,                 2.3883,              0.0003604,              0.0003604,              0.0003604
                      4,                0.72297,                   1.14,                 1.3589,                      1,                0.19583,                0.87039,                 0.4397,                 1.4226,                 3.1518,                 2.3951,             0.00045981,             0.00045981,             0.00045981
                      5,                0.74292,                 1.1596,                 1.3832,                      1,                0.48295,                0.93692,                0.48799,                 1.2799,                  2.946,                 2.3774,             0.00054536,             0.00054536,             0.00054536
                      6,                0.83041,                 1.1212,                 1.4554,                 0.9018,                   0.83,                0.94208,                 0.5362,                 1.1454,                 2.5774,                 2.2968,             0.00061705,             0.00061705,             0.00061705
                      7,                0.79508,                 1.1236,                 1.4058,                0.76298,                0.57945,                0.70851,                0.47794,                0.99782,                 2.9334,                 2.0392,             0.00067488,             0.00067488,             0.00067488
                      8,                0.73643,                 1.0514,                 1.3576,                0.81136,                 0.8602,                 0.9025,                  0.659,                0.85032,                 2.3603,                 1.8532,             0.00071885,             0.00071885,             0.00071885
                      9,                0.75365,                 0.9784,                 1.3726,                0.91759,                   0.99,                0.97566,                 0.7289,                0.82835,                 1.7145,                 1.9977,             0.00074896,             0.00074896,             0.00074896
                     10,                0.69931,                0.96279,                 1.3435,                0.98517,                   0.99,                0.98927,                 0.7283,                0.81438,                 1.4903,                 2.1021,             0.00076521,             0.00076521,             0.00076521
                     11,                0.64123,                  1.583,                 1.5029,                 0.9999,                   0.99,                0.99018,                 0.7116,                0.87446,                 1.3624,                 2.4677,              0.0007676,              0.0007676,              0.0007676
                     12,                0.49203,                 1.2437,                 1.3942,                0.99765,                   0.98,                0.98657,                0.75514,                0.82692,                 1.5127,                 2.1249,             0.00075613,             0.00075613,             0.00075613
                     13,                0.53112,                 1.1321,                  1.463,                0.99982,                   0.98,                 0.9923,                0.74878,                0.85657,                 1.6055,                 2.0244,              0.0007308,              0.0007308,              0.0007308
                     14,                0.49059,                 1.1116,                 1.3429,                0.99474,                   0.97,                0.99071,                0.77103,                0.85267,                 1.6814,                 1.8411,             0.00069161,             0.00069161,             0.00069161
                     15,                 0.5042,                   1.09,                  1.369,                0.98973,                0.96394,                0.99301,                0.82032,                0.67286,                 1.4288,                 1.5579,               0.000614,               0.000614,               0.000614
                     16,                0.53376,                 1.1633,                  1.354,                0.98144,                   0.99,                0.99432,                0.82879,                0.66464,                 1.3408,                 1.5641,               0.000515,               0.000515,               0.000515
                     17,                0.41051,                 1.0181,                 1.2625,                0.97443,                   0.98,                0.99432,                0.82706,                0.65246,                 1.2965,                 1.5588,               0.000416,               0.000416,               0.000416
                     18,                0.45567,                0.99045,                 1.3411,                0.99827,                      1,                  0.995,                0.84299,                0.58201,                 1.1328,                  1.427,               0.000317,               0.000317,               0.000317
                     19,                0.41019,                0.94848,                 1.2567,                0.99752,                      1,                  0.995,                0.85698,                0.55731,                 1.0686,                 1.3515,               0.000218,               0.000218,               0.000218
                     20,                0.34823,                 0.9008,                 1.1679,                0.99876,                      1,                  0.995,                0.86754,                0.54109,                  1.066,                 1.2965,               0.000119,               0.000119,               0.000119
