                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73311,                 3.1278,                  1.233,                0.00733,                0.89608,                0.22753,                0.17536,                0.48707,                   3.27,                 1.0464,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                0.67055,                 2.9162,                 1.1842,                0.00728,                0.90321,                0.33841,                0.27141,                0.49696,                 3.2295,                0.99625,              9.904e-05,              9.904e-05,              9.904e-05
                      3,                0.68763,                 2.6267,                 1.1547,                0.00733,                0.91016,                0.35141,                0.29249,                0.52019,                 3.1099,                0.97958,             0.00015408,             0.00015408,             0.00015408
                      4,                0.63501,                 2.2412,                 1.1065,                0.00749,                0.93857,                0.42666,                0.35433,                0.55733,                 2.8828,                 1.0226,             0.00020798,             0.00020798,             0.00020798
                      5,                0.65728,                 2.0842,                 1.1306,                0.54472,                0.07528,                0.42517,                0.35572,                0.57855,                 2.7523,                 1.0513,             0.00026076,             0.00026076,             0.00026076
                      6,                0.63101,                 1.9679,                 1.1414,                0.71297,                 0.1843,                0.43628,                0.36875,                0.55313,                 2.6684,                   1.02,              0.0003124,              0.0003124,              0.0003124
                      7,                0.65214,                 1.8074,                 1.1332,                0.28927,                0.85485,                 0.4601,                0.39845,                0.55015,                 2.6982,                  1.005,             0.00036291,             0.00036291,             0.00036291
                      8,                0.75262,                  1.762,                 1.1412,                0.45437,                0.20046,                0.44486,                0.38314,                0.55333,                 2.6556,                 1.0036,             0.00041229,             0.00041229,             0.00041229
                      9,                0.59215,                 1.5908,                 1.0729,                0.62457,                0.42832,                0.54391,                0.47413,                0.57768,                 2.3544,                 1.0204,             0.00046054,             0.00046054,             0.00046054
                     10,                0.57806,                 1.3631,                 1.0794,                0.41844,                0.63137,                0.60325,                0.49409,                0.62178,                 2.1665,                   1.04,             0.00050765,             0.00050765,             0.00050765
                     11,                0.63687,                 1.4274,                 1.1045,                 0.5979,                0.55233,                 0.6101,                 0.4989,                0.65342,                  2.284,                 1.0725,             0.00055364,             0.00055364,             0.00055364
                     12,                0.56841,                 1.2054,                 1.0164,                 0.5524,                0.59111,                0.64916,                0.53831,                0.69663,                 2.0685,                 1.1015,             0.00059849,             0.00059849,             0.00059849
                     13,                0.62176,                 1.2297,                 1.0691,                0.62287,                0.69555,                0.75781,                0.63388,                0.61197,                 1.9034,                 1.0207,             0.00064221,             0.00064221,             0.00064221
                     14,                0.58655,                 1.1861,                 1.0447,                 0.7293,                0.74831,                0.81084,                0.68675,                0.56681,                 1.6988,                0.99322,              0.0006848,              0.0006848,              0.0006848
                     15,                0.51645,                 1.0808,                 1.0084,                0.81127,                0.75756,                0.86092,                0.75628,                0.52944,                 1.4259,                 1.0061,             0.00072625,             0.00072625,             0.00072625
                     16,                0.56125,                 1.1039,                 1.0291,                0.81062,                 0.6676,                0.85089,                0.73341,                0.53981,                 1.5286,                 1.0029,             0.00076658,             0.00076658,             0.00076658
                     17,                0.60666,                 1.0712,                 1.0358,                0.87973,                0.56345,                0.81597,                0.70455,                0.53717,                 1.7208,                0.99705,             0.00080577,             0.00080577,             0.00080577
                     18,                0.53155,                 1.0484,                0.99871,                0.75288,                0.63567,                0.79501,                0.66358,                0.58628,                 1.6906,                 1.0547,             0.00084383,             0.00084383,             0.00084383
