                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0693,                 3.7132,                 1.7451,                0.00559,                0.64815,                0.08776,                0.03677,                  1.501,                 3.9178,                 1.3307,             0.00018577,             0.00018577,             0.00018577
                      2,                 1.7441,                 2.3556,                 1.4594,                0.01013,                0.73333,                 0.1354,                  0.071,                 1.3863,                  3.501,                 1.1889,             0.00036673,             0.00036673,             0.00036673
                      3,                 1.5962,                 2.2201,                  1.409,                0.00961,                0.76667,                0.29561,                0.17418,                 1.3639,                 3.1766,                 1.2823,             0.00052789,             0.00052789,             0.00052789
                      4,                 1.5207,                 1.8123,                 1.3677,                0.91323,                0.04231,                 0.2887,                0.12954,                 1.7342,                 3.3084,                 1.5407,             0.00066924,             0.00066924,             0.00066924
                      5,                 1.4548,                 1.7289,                 1.3222,                0.90563,                0.11259,                0.37313,                0.17773,                  1.772,                 2.8904,                 1.4693,             0.00079078,             0.00079078,             0.00079078
                      6,                 1.4817,                  1.618,                 1.3088,                0.51949,                0.23704,                0.36567,                0.16127,                 1.8126,                 2.7461,                 1.4991,             0.00089252,             0.00089252,             0.00089252
                      7,                  1.476,                 1.6591,                 1.3487,                0.44767,                 0.3292,                0.35374,                0.17627,                 1.6835,                 2.5625,                 1.4441,             0.00097445,             0.00097445,             0.00097445
                      8,                 1.4135,                 1.4054,                 1.2716,                0.58896,                 0.4557,                0.56787,                0.27141,                 1.9188,                 1.8451,                 1.5222,             0.00093385,             0.00093385,             0.00093385
                      9,                 1.3674,                 1.5637,                 1.3119,                0.50342,                0.52593,                0.58096,                0.28293,                 1.6448,                 1.8986,                 1.3603,             0.00086312,             0.00086312,             0.00086312
                     10,                 1.3349,                 1.3027,                 1.2418,                0.86525,                0.57402,                0.55164,                0.31084,                 1.5415,                 1.4945,                 1.3006,             0.00079238,             0.00079238,             0.00079238
                     11,                 1.2757,                 1.3625,                 1.2582,                0.84189,                0.52222,                0.55553,                0.24623,                  1.796,                 1.8424,                 1.4574,             0.00072164,             0.00072164,             0.00072164
                     12,                 1.3238,                 1.4183,                 1.2824,                0.50657,                0.55491,                0.58614,                 0.2632,                  1.877,                  1.469,                 1.4841,             0.00065091,             0.00065091,             0.00065091
                     13,                 1.2413,                 1.2294,                 1.2506,                0.60582,                0.53333,                0.60539,                0.31211,                 1.6598,                 1.3766,                 1.3795,             0.00058017,             0.00058017,             0.00058017
                     14,                 1.2982,                 1.1896,                 1.2448,                0.92001,                0.50886,                0.58258,                0.26604,                 1.7144,                 1.4936,                 1.4454,             0.00050944,             0.00050944,             0.00050944
                     15,                 1.2233,                 1.1834,                 1.2245,                0.52141,                0.58901,                0.60857,                0.34019,                  1.468,                 1.3059,                 1.2566,              0.0004387,              0.0004387,              0.0004387
                     16,                 1.2311,                 1.0947,                 1.1779,                0.90115,                0.57543,                0.60689,                0.28403,                 1.7731,                 1.2625,                 1.3832,             0.00036797,             0.00036797,             0.00036797
                     17,                 1.1001,                 1.0269,                 1.1411,                0.96284,                0.55953,                0.62598,                0.32557,                 1.5627,                  1.169,                 1.2779,             0.00029723,             0.00029723,             0.00029723
                     18,                 1.1183,                 1.0203,                 1.1558,                0.93968,                0.59284,                0.63226,                0.25329,                 2.0271,                 1.2106,                 1.5425,              0.0002265,              0.0002265,              0.0002265
                     19,                  1.104,                 1.0184,                 1.1789,                0.96485,                0.56667,                0.63744,                0.30121,                 1.8075,                 1.1274,                 1.3864,             0.00015576,             0.00015576,             0.00015576
                     20,                 1.0541,                0.96617,                 1.0985,                0.96939,                0.55938,                0.63162,                0.31386,                 1.7084,                 1.1059,                 1.3373,             8.5026e-05,             8.5026e-05,             8.5026e-05
